,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
CTXS,0.20330951718101442,0.40839959908038104,0.4978200704379221,MRO,-0.1511301739842778,0.0,3.86%,-3.98%,5.27%,-5.27%,-11.59%,18.59%,5.71%,Citrix Systems,Information Technology,Application Software,CTXS,ANET,HOLX,INTU,ALXN,BLK,PKI,IPGP,A,LUMN,0.3313921590227201,0.28224815991731855,0.17,0.08,0.12,0.01,0.15,0.01,0.16,0.08,0.06,0.14,0.3543561503622161,0.29177431880751614,0.06,0.04,0.17,0.01,0.09,0.0,0.29,0.04,0.05,0.23
CLX,0.3672763916490086,0.31563792545143343,1.163600321867914,WMB,-0.2423792811058233,2.0,4.31%,2.45%,-0.51%,-3.43%,-7.03%,34.46%,10.80%,The Clorox Company,Consumer Staples,Household Products,CLX,SIVB,LUMN,KEYS,AMAT,NWSA,ANET,ALB,TT,FFIV,0.36995232961528074,0.2754025899718508,0.27,0.02,0.2,0.02,0.07,0.02,0.02,0.0,0.09,0.29,0.4271499286923872,0.28951008929239563,0.36,0.01,0.14,0.01,0.01,0.04,0.17,0.15,0.07,0.04
CME,-0.054873540114002584,0.4726685190489647,-0.11609307136513174,KR,0.053361410143692,3.0,-2.70%,-4.06%,5.96%,10.85%,14.69%,-6.34%,0.86%,CME Group Inc.,Financials,Financial Exchanges & Data,CME,AVGO,ZBRA,TT,MXIM,GOOG,GOOGL,BLK,LLY,KLAC,0.32700200553488035,0.3274851606329559,0.03,0.0,0.05,0.21,0.05,0.15,0.23,0.04,0.22,0.01,0.3665680584441398,0.34441030712025544,0.01,0.0,0.06,0.17,0.2,0.09,0.06,0.1,0.26,0.05
CMS,-0.05143530205785198,0.37696633496391513,-0.1364453461415211,CARR,0.058246456344786965,3.0,-2.52%,-0.36%,-0.86%,-0.02%,5.79%,-0.31%,-6.03%,CMS Energy,Utilities,Multi-Utilities,CMS,ETSY,TTWO,MSCI,ENPH,KEYS,TSLA,ALXN,EA,PYPL,0.34417789235809654,0.3070953979341995,0.22,0.02,0.22,0.07,0.0,0.12,0.03,0.13,0.16,0.02,1.3459423317688324,0.529881515912573,0.0,0.33,0.05,0.02,0.16,0.12,0.25,0.0,0.05,0.02
KO,-0.070567747877947,0.3400313945748562,-0.2075330366661537,VNT,0.08690469893124923,3.0,-1.54%,-0.43%,6.28%,11.95%,24.70%,2.47%,-10.21%,Coca-Cola Company,Consumer Staples,Soft Drinks,KO,WST,TSCO,DG,ABMD,EA,ATVI,BIO,AMZN,EBAY,0.2929371953209885,0.24623064257227328,0.2,0.06,0.02,0.24,0.09,0.14,0.0,0.06,0.05,0.12,0.5363292743343163,0.28301224815291237,0.01,0.25,0.05,0.04,0.25,0.08,0.0,0.03,0.2,0.08
CTSH,0.22361044766343602,0.4668515941254306,0.4789754398982685,KR,0.10551937722912523,0.0,-4.27%,0.40%,4.89%,18.39%,45.12%,33.93%,-4.44%,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,CTSH,REGN,KR,DXCM,CLX,NLOK,LLY,NEM,AKAM,LUMN,0.3179922175083588,0.22663740325820292,0.02,0.04,0.25,0.01,0.2,0.13,0.03,0.08,0.08,0.14,0.3746392513808275,0.2398277097726503,0.0,0.02,0.09,0.06,0.23,0.22,0.15,0.03,0.06,0.16
CL,0.1607556069298423,0.30507589506960964,0.5269364427929072,CARR,0.06775681462606695,0.0,-0.91%,-3.97%,-0.15%,11.45%,18.06%,27.17%,-6.57%,Colgate-Palmolive,Consumer Staples,Household Products,CL,REGN,LUMN,VNT,KR,DXCM,LLY,NLOK,CLX,AKAM,0.3467287318118448,0.18912287199144454,0.08,0.06,0.05,0.23,0.21,0.04,0.03,0.17,0.12,0.01,0.39193700799023046,0.19813004254738814,0.01,0.01,0.04,0.26,0.09,0.09,0.14,0.04,0.29,0.01
CMCSA,0.1438415401290041,0.3746233742307185,0.3839630680396806,VNT,0.13197410660829884,0.0,-3.33%,-0.02%,4.30%,13.84%,35.11%,19.13%,-1.73%,Comcast Corp.,Communication Services,Cable & Satellite,CMCSA,KR,DXCM,NLOK,REGN,CLX,NEM,LLY,AKAM,MKTX,0.30227820390889515,0.22334241172965016,0.09,0.2,0.02,0.18,0.07,0.19,0.13,0.03,0.07,0.01,0.3621166655128109,0.24379561690778834,0.01,0.06,0.07,0.21,0.01,0.18,0.1,0.25,0.1,0.0
CMA,-0.12206626834638916,0.7440524835631316,-0.16405599207442473,CTXS,-0.114837194740917,3.0,-5.52%,-2.54%,15.02%,47.95%,51.12%,-16.79%,5.25%,Comerica Inc.,Financials,Diversified Banks,CMA,EBAY,AMZN,MKTX,DG,NFLX,TSCO,ATVI,EA,WST,0.3500161748798248,0.2632239737377466,0.08,0.13,0.09,0.07,0.17,0.04,0.08,0.05,0.14,0.13,0.47158736400977697,0.2850517425430569,0.02,0.18,0.2,0.02,0.0,0.11,0.12,0.02,0.07,0.25
CAG,0.06876279167676308,0.3320772305785924,0.20706867362436962,APA,0.01884450752939469,0.0,0.79%,1.54%,-0.82%,2.33%,4.50%,8.70%,-2.39%,Conagra Brands,Consumer Staples,Packaged Foods & Meats,CAG,LUMN,KEYS,ALB,AMAT,LLY,SIVB,FFIV,ANET,DVA,0.32076240671352896,0.2688733478719872,0.23,0.1,0.06,0.02,0.02,0.15,0.02,0.24,0.02,0.12,0.4866438954646,0.34100561703044135,0.01,0.09,0.03,0.21,0.03,0.22,0.02,0.11,0.09,0.19
CXO,-0.23424309529679,0.6774128862015344,-0.3457907283256216,CTXS,-0.06905781223921256,3.0,0.00%,0.00%,1.51%,32.85%,14.25%,-32.38%,12.43%,Concho Resources,Energy,Oil & Gas Exploration & Production,CXO,TT,LB,A,TER,HOLX,DE,NKE,TWTR,ADSK,0.33874804069457787,0.3510485819959564,0.0,0.15,0.02,0.24,0.0,0.34,0.03,0.14,0.02,0.05,0.4284322585754743,0.3849553478215777,0.0,0.03,0.08,0.19,0.21,0.01,0.21,0.18,0.05,0.03
COP,-0.3867542855904069,0.70978920275525,-0.5448861212443207,KR,-0.05301073286213564,1.0,-2.47%,-5.39%,1.09%,23.27%,-2.68%,-36.04%,2.28%,ConocoPhillips,Energy,Oil & Gas Exploration & Production,COP,TER,DVA,HOLX,NKE,ADSK,ALGN,A,LB,KLAC,0.3235285976829908,0.34139823132561253,0.06,0.07,0.22,0.06,0.19,0.03,0.03,0.29,0.0,0.03,0.4667223925084856,0.39863883138719225,0.0,0.11,0.23,0.06,0.0,0.12,0.02,0.22,0.17,0.06
ED,-0.17351015937557349,0.3977175217761771,-0.4362648107649115,VNT,-0.0027410811046189106,3.0,1.79%,-1.11%,-5.22%,-6.24%,2.46%,-16.99%,-1.29%,Consolidated Edison,Utilities,Electric Utilities,ED,CARR,OTIS,TT,BLL,TROW,NWSA,LB,NEE,SIVB,0.2875122503001163,0.3091395788658771,0.23,0.07,0.17,0.14,0.22,0.01,0.03,0.01,0.12,0.0,0.7889340925901248,0.40700968541960025,0.07,0.44,0.02,0.06,0.16,0.06,0.01,0.1,0.03,0.07
STZ,0.12724700950385023,0.4461611320526686,0.28520415688928485,KR,0.05615793208270036,0.0,-2.97%,3.15%,6.42%,16.07%,26.28%,17.41%,-2.13%,Constellation Brands,Consumer Staples,Distillers & Vintners,STZ,KR,CLX,REGN,NLOK,DXCM,NEM,AKAM,MKTX,NFLX,0.29204910765342024,0.22773127420546882,0.18,0.16,0.14,0.1,0.15,0.02,0.12,0.01,0.0,0.1,0.3600938966710188,0.24765064260759195,0.01,0.13,0.2,0.0,0.15,0.12,0.14,0.02,0.05,0.17
COO,0.1255235318604481,0.3948978792489539,0.3178632716366521,KR,0.12297017021826104,0.0,-4.43%,0.83%,8.38%,7.77%,28.11%,13.10%,1.05%,The Cooper Companies,Health Care,Health Care Supplies,COO,NEM,NLOK,DXCM,AKAM,KR,CLX,MKTX,EBAY,EA,0.311274312833981,0.22273312974672088,0.06,0.11,0.21,0.02,0.03,0.26,0.2,0.02,0.06,0.03,0.381201090549682,0.25457040037399165,0.0,0.07,0.14,0.12,0.03,0.0,0.27,0.08,0.24,0.05
CPRT,0.17612310397549216,0.42669056879184525,0.41276540157467423,KR,0.05433813418793498,0.0,-1.83%,-1.03%,10.22%,21.01%,52.82%,39.93%,-13.24%,Copart Inc,Industrials,Diversified Support Services,CPRT,REGN,KR,DXCM,CLX,VNT,NLOK,LLY,LUMN,NEM,0.3609082512704296,0.18767020063654818,0.04,0.05,0.19,0.04,0.18,0.24,0.12,0.03,0.06,0.05,0.3880477525784539,0.19195358410294372,0.02,0.01,0.03,0.04,0.18,0.29,0.19,0.11,0.03,0.08
GLW,0.23816965037784188,0.49872903695151205,0.4775532057119775,KR,0.16797412658390165,0.0,-5.22%,-0.53%,-3.79%,11.76%,40.80%,27.57%,1.49%,Corning Inc.,Information Technology,Electronic Components,GLW,REGN,NLOK,KR,DXCM,CLX,LLY,NEM,LUMN,AKAM,0.32650441478240766,0.2235177502817869,0.02,0.07,0.14,0.22,0.01,0.24,0.06,0.1,0.1,0.02,0.3693313593260026,0.23422042205163107,0.01,0.02,0.19,0.12,0.12,0.18,0.13,0.1,0.12,0.01
CTVA,0.3099260922704118,0.5017135199789337,0.6177351813908168,CLX,0.10688398663459302,2.0,-2.00%,-3.86%,1.04%,34.88%,45.77%,33.49%,3.90%,Corteva,Materials,Fertilizers & Agricultural Chemicals,CTVA,REGN,KR,DXCM,CLX,NLOK,NEM,AKAM,EBAY,LLY,0.33586581376412644,0.2254514387332338,0.03,0.0,0.17,0.03,0.15,0.15,0.1,0.13,0.14,0.08,0.38108175968454405,0.24042335431234924,0.02,0.04,0.07,0.05,0.16,0.21,0.12,0.0,0.17,0.17
COST,0.21086599209192491,0.2810455629171495,0.7502911268308723,CARR,0.008004590680155705,0.0,-2.35%,0.04%,-1.31%,9.12%,28.04%,32.67%,-4.44%,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,COST,VNT,REGN,LUMN,DXCM,LLY,KR,NLOK,CLX,AKAM,0.3704227267837671,0.18856402064739664,0.11,0.32,0.0,0.09,0.06,0.02,0.13,0.05,0.17,0.05,0.3987881764485447,0.19835112108016853,0.01,0.35,0.06,0.1,0.09,0.09,0.13,0.04,0.12,0.01
CCI,0.1382588871459985,0.41230404683011174,0.33533235535514283,VNT,0.03433668113050122,0.0,-2.18%,1.06%,-4.19%,-3.58%,-3.34%,15.49%,-0.35%,Crown Castle International Corp.,Real Estate,Specialized REITs,CCI,SIVB,KEYS,NWSA,ALB,FCX,AMAT,LUMN,ENPH,ALGN,0.391796796415263,0.36323258332220726,0.17,0.06,0.26,0.09,0.04,0.01,0.06,0.25,0.02,0.03,0.9671844960225382,0.5553146625120059,0.09,0.15,0.05,0.02,0.04,0.0,0.04,0.17,0.41,0.03
CSX,0.16863267882958755,0.4493402327143839,0.37528951683428774,KR,0.11928093590092712,0.0,-3.39%,-6.19%,0.78%,17.17%,30.94%,27.09%,-4.67%,CSX Corp.,Industrials,Railroads,CSX,REGN,KR,CLX,DXCM,NLOK,NEM,AKAM,LLY,LUMN,0.33796378336686633,0.22433946652222686,0.01,0.0,0.19,0.22,0.03,0.22,0.12,0.06,0.06,0.09,0.3927115977397635,0.2510968623837021,0.02,0.02,0.03,0.3,0.16,0.09,0.03,0.02,0.23,0.1
CMI,0.3057638678047441,0.422164912975255,0.7242758893671164,KR,0.0887510140761518,2.0,-3.13%,4.11%,-1.76%,8.17%,32.66%,30.50%,8.60%,Cummins Inc.,Industrials,Industrial Machinery,CMI,REGN,NLOK,LUMN,KR,LLY,DXCM,VNT,CLX,AKAM,0.3579095188434249,0.18775212270665792,0.09,0.05,0.19,0.01,0.22,0.01,0.03,0.26,0.13,0.02,0.3768444845187351,0.1918866213945538,0.0,0.02,0.1,0.04,0.11,0.08,0.01,0.28,0.27,0.09
CVS,0.02223453027287391,0.38494137526286215,0.0577608220412544,VNT,-0.042316693660655526,0.0,-2.44%,-2.16%,0.75%,17.94%,6.85%,-5.14%,8.30%,CVS Health,Health Care,Health Care Services,CVS,AKAM,CHD,NFLX,AMZN,NEM,DG,NVDA,ROL,WST,0.2826595463997187,0.25084537218882613,0.16,0.17,0.17,0.04,0.08,0.18,0.07,0.0,0.01,0.09,0.4563926669623506,0.27759198225291515,0.02,0.01,0.06,0.05,0.21,0.15,0.03,0.01,0.26,0.2
DHI,0.32538289105778556,0.5821041525023289,0.5589770999898231,KR,0.03471811888389677,2.0,-4.02%,12.04%,-7.22%,-8.61%,24.97%,32.23%,8.56%,D. R. Horton,Consumer Discretionary,Homebuilding,DHI,VNT,REGN,LLY,LUMN,KR,NLOK,CLX,FFIV,DXCM,0.35917328784838454,0.18850919249205703,0.01,0.24,0.04,0.05,0.01,0.21,0.15,0.04,0.18,0.06,0.412267446668812,0.2099444538273253,0.02,0.25,0.02,0.08,0.12,0.02,0.15,0.2,0.02,0.13
DHR,0.3666381402131221,0.33064867127374586,1.1088450432924326,LUMN,0.1212310009995538,2.0,-5.03%,0.54%,-1.03%,3.25%,25.84%,45.34%,2.39%,Danaher Corp.,Health Care,Health Care Equipment,DHR,VNT,LUMN,REGN,LLY,KR,NLOK,DXCM,CLX,FFIV,0.35653855617474983,0.1824785579383055,0.0,0.23,0.04,0.02,0.08,0.23,0.2,0.02,0.12,0.04,0.3709098897588451,0.1834465248985887,0.15,0.26,0.06,0.03,0.0,0.13,0.13,0.03,0.12,0.08
DRI,0.08009623841039744,0.7957324601124792,0.10065724653117153,K,-0.14481289482514711,3.0,-5.46%,0.74%,10.32%,18.60%,57.68%,10.45%,-1.25%,Darden Restaurants,Consumer Discretionary,Restaurants,DRI,NEM,NLOK,AKAM,DXCM,MKTX,LLY,NFLX,EBAY,CLX,0.3596626561327535,0.23744760985088917,0.02,0.15,0.16,0.11,0.0,0.02,0.12,0.07,0.15,0.18,0.4075167494250155,0.25720883169773306,0.01,0.05,0.09,0.01,0.04,0.0,0.22,0.18,0.21,0.18
DVA,0.4470931858833078,0.4000046308557508,1.1177200247077592,NEM,0.14526975703922912,2.0,-1.18%,0.71%,6.87%,37.07%,48.34%,56.47%,3.96%,DaVita Inc.,Health Care,Health Care Facilities,DVA,REGN,KR,DXCM,CLX,NLOK,AKAM,NEM,CHD,EBAY,0.32653145688313356,0.2225737845142405,0.05,0.02,0.19,0.01,0.23,0.21,0.08,0.11,0.03,0.06,0.38674725762541173,0.24156745996322515,0.12,0.0,0.06,0.11,0.21,0.15,0.01,0.14,0.02,0.19
DE,0.49362760186422433,0.4504947298655452,1.0957455640192564,KR,0.1338879849002271,2.0,-5.16%,3.31%,3.14%,21.74%,72.29%,57.96%,9.24%,Deere & Co.,Industrials,Agricultural & Farm Machinery,DE,REGN,DXCM,KR,NLOK,CLX,NEM,AKAM,LLY,LUMN,0.3421815234323784,0.22414983702902241,0.07,0.02,0.06,0.18,0.2,0.14,0.18,0.04,0.04,0.05,0.3843559456517064,0.23629281518921322,0.1,0.06,0.06,0.01,0.19,0.26,0.12,0.01,0.11,0.08
DAL,-0.3629007591474535,0.7858558260471604,-0.4617905054834769,CTXS,-0.15051212312227866,1.0,-2.03%,0.05%,-0.10%,31.49%,43.35%,-30.77%,-1.17%,Delta Air Lines Inc.,Industrials,Airlines,DAL,COST,LOW,UPS,TSLA,TYL,RMD,CHTR,ENPH,IDXX,0.34964019426540843,0.2842898720165418,0.01,0.24,0.04,0.18,0.01,0.06,0.08,0.15,0.01,0.2,0.9104460646474175,0.4007260841787745,0.0,0.19,0.01,0.13,0.22,0.05,0.07,0.02,0.13,0.18
XRAY,-0.005180915956388285,0.4677513222317019,-0.011076218730220721,KR,-0.07258003476585655,3.0,-3.13%,-2.07%,3.09%,19.97%,19.35%,-6.59%,6.34%,Dentsply Sirona,Health Care,Health Care Supplies,XRAY,NFLX,AMZN,MKTX,AKAM,EBAY,DG,CHD,WST,TSCO,0.265172287832155,0.2431553850796866,0.13,0.03,0.07,0.02,0.14,0.07,0.27,0.19,0.05,0.01,0.4666427861799216,0.2783089417376525,0.03,0.01,0.18,0.06,0.0,0.23,0.04,0.02,0.24,0.19
DVN,-0.3446367937099932,0.9699251344344753,-0.3553230878081505,CTXS,-0.10579013492051188,1.0,2.14%,-9.04%,13.81%,68.30%,45.18%,-35.34%,7.59%,Devon Energy,Energy,Oil & Gas Exploration & Production,DVN,CTLT,FAST,SNPS,AAPL,CMG,TTWO,COST,TMO,DHR,0.29735429931279445,0.27970153608426246,0.05,0.03,0.07,0.01,0.01,0.01,0.1,0.31,0.22,0.17,0.49351916111594774,0.33198138840683517,0.0,0.15,0.01,0.17,0.12,0.08,0.17,0.02,0.16,0.11
DXCM,0.47431597391881,0.5424116009719031,0.8744576500003353,AAL,0.04505018388579773,2.0,-3.26%,4.49%,15.65%,-10.31%,-8.80%,69.02%,-2.06%,DexCom,Health Care,Health Care Equipment,DXCM,LUMN,SIVB,KEYS,TT,NWSA,AMAT,VNT,ALB,CARR,0.4665889851356836,0.2734506982511942,0.1,0.15,0.04,0.2,0.16,0.03,0.02,0.23,0.0,0.07,0.6681617518497387,0.2855114902554728,0.08,0.14,0.01,0.04,0.04,0.03,0.02,0.3,0.1,0.23
FANG,-0.37847154898382895,1.0565034548976873,-0.35823029941769613,DG,-0.19091204999305636,1.0,-5.07%,7.60%,21.12%,62.57%,18.09%,-46.00%,20.27%,Diamondback Energy,Energy,Oil & Gas Exploration & Production,FANG,PWR,NEE,INTU,LLY,TWTR,ANSS,IPGP,PKI,NDAQ,0.342238439045398,0.32197437777239735,0.05,0.02,0.1,0.02,0.23,0.09,0.03,0.02,0.34,0.1,0.39446923330744676,0.3265596287113837,0.02,0.23,0.04,0.08,0.2,0.04,0.01,0.09,0.22,0.06
DLR,0.2323986606609503,0.41907331473935827,0.5545537081154646,VNT,-0.012152568606836828,0.0,2.28%,2.92%,4.43%,-4.12%,-0.21%,20.37%,5.72%,Digital Realty Trust Inc,Real Estate,Specialized REITs,DLR,AMAT,SIVB,KEYS,NWSA,LUMN,FFIV,ALB,ANET,DVA,0.36514845084188796,0.31151104707570326,0.23,0.02,0.03,0.09,0.0,0.11,0.23,0.04,0.05,0.19,0.4892095629627661,0.36088256800756396,0.03,0.04,0.02,0.06,0.0,0.15,0.19,0.28,0.02,0.19
DFS,0.022317915162620484,0.829224946983278,0.026914186848590486,CLX,-0.058017225258044924,3.0,-5.34%,-5.62%,18.85%,57.58%,83.36%,10.13%,-6.22%,Discover Financial Services,Financials,Consumer Finance,DFS,AKAM,NEM,NLOK,DXCM,CLX,NFLX,EBAY,AMZN,MKTX,0.37229069200640025,0.24462641595490037,0.01,0.08,0.06,0.12,0.04,0.34,0.01,0.21,0.05,0.07,0.405591116680425,0.25677291371191474,0.0,0.07,0.06,0.12,0.01,0.22,0.01,0.18,0.24,0.1
DISCA,0.22355655562624469,0.5123402823720695,0.4363438974409871,CLX,0.0021498099947004187,0.0,7.74%,1.99%,11.82%,38.22%,42.61%,-8.09%,41.31%,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,DISCA,WST,TSCO,NVDA,ADBE,EBAY,ROL,CHD,DG,ODFL,0.36054512039115344,0.25809623942695986,0.14,0.16,0.03,0.0,0.02,0.1,0.09,0.18,0.16,0.11,0.4714817371520802,0.28746122443663236,0.02,0.28,0.16,0.06,0.02,0.14,0.09,0.04,0.09,0.09
DISCK,0.0892919870077934,0.5064630154930198,0.17630504948297462,KR,-0.05511482499629084,0.0,-5.45%,1.67%,9.03%,33.62%,35.98%,-14.10%,30.24%,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,DISCK,WMT,EA,MSFT,ABMD,ATVI,NOW,ODFL,BIO,MSCI,0.36810740044548634,0.2650835036780244,0.1,0.22,0.15,0.02,0.2,0.02,0.05,0.11,0.08,0.03,0.48298016635687857,0.31051687063497974,0.01,0.04,0.08,0.0,0.23,0.2,0.14,0.15,0.16,0.0
DISH,-0.15455920721650937,0.6175479159526394,-0.25027889046971175,CLX,0.19014701360002642,3.0,-4.44%,-7.25%,-9.84%,11.40%,-6.29%,-8.82%,-5.69%,Dish Network,Communication Services,Cable & Satellite,DISH,NLOK,CLX,WMT,NEM,NFLX,DXCM,LLY,MKTX,DG,0.28900708825597676,0.22918698267144993,0.01,0.2,0.22,0.15,0.06,0.01,0.0,0.0,0.05,0.29,0.36262752784910907,0.24106762273064797,0.0,0.24,0.18,0.01,0.11,0.04,0.12,0.14,0.01,0.14
DG,0.24132674436471008,0.3032863366855631,0.7957059556392393,FANG,0.00804001115254032,0.0,-3.15%,-2.47%,-3.79%,0.50%,10.79%,35.89%,-4.54%,Dollar General,Consumer Discretionary,General Merchandise Stores,DG,LUMN,VNT,LLY,FFIV,AMAT,ANET,REGN,KEYS,SIVB,0.3656769050396199,0.22133587332597368,0.17,0.12,0.25,0.08,0.1,0.0,0.1,0.12,0.02,0.02,0.3837834806665711,0.23225289740683927,0.14,0.1,0.28,0.1,0.05,0.02,0.03,0.21,0.02,0.05
DLTR,0.10667320110065831,0.46261673076942506,0.23058656119773108,KR,0.07234350899264465,0.0,-3.92%,-0.42%,-1.10%,18.28%,16.57%,14.88%,-4.20%,Dollar Tree,Consumer Discretionary,General Merchandise Stores,DLTR,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LLY,LUMN,0.305710965735577,0.22017508589550647,0.14,0.03,0.12,0.2,0.04,0.17,0.08,0.06,0.07,0.07,0.38473837465569316,0.2445059930894394,0.01,0.02,0.03,0.25,0.07,0.22,0.03,0.03,0.24,0.11
D,-0.04963514429439312,0.43380898248880767,-0.11441705058671466,VNT,0.06572910307398956,3.0,-0.76%,0.29%,-3.43%,-3.97%,-5.52%,-5.35%,-1.59%,Dominion Energy,Utilities,Electric Utilities,D,MTD,PWR,NEM,WST,SNPS,PKI,REGN,IDXX,TMUS,0.3511449887083916,0.2777707537029416,0.12,0.05,0.07,0.15,0.02,0.01,0.17,0.14,0.13,0.12,0.4959917322008313,0.29715101906711133,0.0,0.08,0.17,0.17,0.24,0.08,0.0,0.05,0.18,0.02
DPZ,0.22539130625685874,0.40436901991382335,0.5573901440443998,CCL,-0.15598660119908628,0.0,-0.51%,1.37%,-2.12%,-9.65%,4.21%,31.63%,-3.25%,Domino's Pizza,Consumer Discretionary,Restaurants,DPZ,LUMN,SIVB,AMAT,ANET,NWSA,KEYS,FFIV,VNT,ALB,0.37376950937018505,0.24236129888015864,0.21,0.1,0.02,0.06,0.05,0.05,0.06,0.14,0.28,0.02,0.44297242929240754,0.26359884941189576,0.2,0.1,0.01,0.03,0.05,0.01,0.07,0.08,0.29,0.17
DOV,0.045147332281878984,0.4523606758748388,0.09980383947956288,KR,0.06909337881374623,0.0,-4.27%,-0.05%,3.46%,17.00%,31.86%,11.53%,-5.35%,Dover Corporation,Industrials,Industrial Machinery,DOV,KR,CLX,DXCM,NLOK,NEM,REGN,LLY,AKAM,MKTX,0.26823807145670614,0.22886102399807357,0.18,0.2,0.16,0.02,0.21,0.03,0.06,0.06,0.05,0.01,0.3775023847455333,0.2555470458296166,0.01,0.12,0.28,0.18,0.09,0.02,0.01,0.21,0.02,0.06
DOW,0.039978295013629664,0.6092522140800223,0.06561862901720815,CLX,0.09368173192644597,3.0,-2.42%,0.33%,4.70%,19.44%,40.00%,7.88%,-2.29%,Dow Inc.,Materials,Commodity Chemicals,DOW,KR,REGN,NLOK,CLX,DXCM,NEM,AKAM,LLY,MKTX,0.30830238467176474,0.22977907942127895,0.05,0.11,0.04,0.17,0.22,0.01,0.17,0.1,0.06,0.04,0.36632413819469256,0.24649466638708586,0.01,0.05,0.05,0.12,0.37,0.07,0.08,0.02,0.17,0.06
DTE,-0.010519366558273763,0.4633060290839522,-0.022705006837646025,KR,0.06849686684845048,3.0,-1.69%,-1.30%,-2.64%,6.47%,14.94%,-2.86%,0.72%,DTE Energy Co.,Utilities,Multi-Utilities,DTE,NLOK,NEM,DXCM,LLY,CLX,VNT,KR,AKAM,MKTX,0.31587312095500253,0.19114595312533128,0.11,0.13,0.04,0.0,0.07,0.03,0.27,0.23,0.11,0.02,0.3927831238324955,0.1975741176608803,0.0,0.11,0.06,0.04,0.15,0.21,0.29,0.03,0.06,0.04
DUK,0.06784728746916394,0.3993052990675662,0.1699133160205909,CARR,0.13032475450905137,0.0,-1.30%,-1.98%,-1.19%,4.42%,17.10%,4.77%,1.89%,Duke Energy,Utilities,Electric Utilities,DUK,EA,LLY,EBAY,AKAM,NFLX,AMZN,ATVI,TSCO,MKTX,0.33028265842693333,0.2693490141094634,0.14,0.06,0.1,0.13,0.21,0.02,0.09,0.03,0.13,0.07,0.4334587113064019,0.28372629475944844,0.0,0.01,0.29,0.11,0.05,0.02,0.29,0.01,0.1,0.1
DRE,0.16688916815935761,0.4537087320342799,0.3678332735873999,VNT,0.16658956897651242,0.0,-1.79%,3.44%,5.02%,9.01%,14.34%,18.32%,0.25%,Duke Realty Corp,Real Estate,Industrial REITs,DRE,VNT,REGN,KR,LLY,LUMN,DXCM,CLX,NLOK,NEM,0.3594160613043357,0.19286936262994925,0.03,0.25,0.04,0.25,0.01,0.1,0.06,0.12,0.09,0.05,0.40299693641417467,0.20561726326270072,0.02,0.34,0.02,0.01,0.04,0.06,0.03,0.22,0.1,0.18
DD,0.22798841268378897,0.503578252126694,0.45273681244365954,KR,0.06596325985286004,0.0,-2.42%,-1.52%,12.09%,28.77%,35.19%,13.28%,12.50%,DuPont de Nemours Inc,Materials,Specialty Chemicals,DD,REGN,KR,NLOK,CLX,DXCM,NEM,AKAM,LLY,NFLX,0.33414686527272264,0.22688888810305619,0.0,0.03,0.2,0.25,0.22,0.0,0.18,0.0,0.07,0.04,0.35852935342074255,0.23524875463150413,0.01,0.04,0.17,0.2,0.11,0.05,0.12,0.0,0.2,0.09
DXC,-0.22666247081757462,0.9088793113855781,-0.24938676453315875,KR,-0.03917453354223581,1.0,-3.00%,2.56%,17.53%,44.26%,56.06%,-30.14%,10.50%,DXC Technology,Information Technology,IT Consulting & Other Services,DXC,MSFT,ADBE,TMUS,MSCI,WMT,EA,CHD,LLY,ODFL,0.285649889016775,0.2651223371290871,0.02,0.01,0.0,0.13,0.06,0.18,0.2,0.22,0.04,0.12,0.36986347846674655,0.2927493730276092,0.0,0.04,0.06,0.21,0.01,0.09,0.07,0.11,0.17,0.24
EMN,0.25769190915088697,0.5021449649424503,0.5131823022071335,CLX,0.003271602225019438,0.0,-2.97%,1.37%,3.65%,29.24%,46.18%,31.78%,0.14%,Eastman Chemical,Materials,Diversified Chemicals,EMN,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LLY,LUMN,0.32302444696137245,0.22275473717371902,0.08,0.02,0.2,0.18,0.01,0.2,0.19,0.02,0.05,0.04,0.3888867022770919,0.24799726626783203,0.02,0.06,0.04,0.14,0.16,0.19,0.07,0.0,0.2,0.12
